EARLIEST_FILING_YEAR,APPLN_ABSTRACT,PSN_NAME,IPC4
2000,"A network probe terminal for tracking a network communication line and simulating a browser activity of a given terminal. The probe terminal monitors TCP/IP data packets routed through the communication line for filtering relevant requests and responses rotating to a given IP address. These requests and responses are analyzed and sorted according to their type and content. Based on the analysis, the probe terminal identifies all relevant data transactions relating to the navigation process of the given terminal. The probe terminal activates a virtual browser simulating the processing of identified data transactions to create navigation presentations similar to the real navigation as seen by the user of the given terminal.","VERINT SYSTEMS","H04L"
2002,"Compositions capable of reducing a risk of Inflammation in a mammal(s) are provided. The compositions contain a therapeutically effective amount of a thermally processed (e.g., extruded) plant material that includes ±-methylene-³-butyrolactone (±-MGBL) and/or several structurally related parent phytochemical capable of inhibiting enzymatic and/or transcriptional activity in the mammal, which is believed to treat and/or prevent inflammation. In this regard, the risk of incidence of other disease or ailments which are believed to be caused by inflammation (e.g., chronic inflammation) may be reduced. The phytocliemicaE source can be derived from a single plant material, such as chicory.","NESTEC","A23K"
2007,"A spring hinge for an eyewear includes a front frame (24) having an attachment portion and a first articulation hinge element, a temple (40) connected to the front frame and having a hollow housing at an end portion, a cover member (10) with a front bump for covering an outside opening of the temple, and a U-shaped slide member (20) with a second articulation hinge element. The U-shaped slide member is housed in the hollow housing to be slidable along a longitudinal direction of the temple. A compression coil spring (30) is provided between the front bump and the U-shaped member in a compressed state. The temple (40) and the attached portion are rotationally connected at the first and second articulation hinge elements. When the temple is pushed outwardly, the temple is opened from a position perpendicular to the front frame, while the compression coil spring is being compressed.","EUROVISION COMPANY","G02C"
2003,"A technique for the arthroscopic delivery and fixation of an articular cartilage repair device or implant involves the use of a cannula tube that functions as both a cartilage cutter and a guide to pass instruments into the body arthroscopically. One such instrument is an end-cutting reamer that both prepares the subchondral bone by re-surfacing it down to a specified depth and also simultaneously drills a pilot hole in the subchondral bone to accept the cartilage repair device. A delivery device is utilized to hold and deliver the cartilage repair device to the delivery site.","DEPUY PRODUCTS","A61B"
1995,"A stable blood factor composition contains a stabilising amount of trehalose in the absence of human serum albumin to provide a product stable at up to 60°C.","QUADRANT DRUG DELIVERY","A61K"
2007,"An image processing device of the invention includes a storage portion (131) which stores EDID information, a communication portion (111) which executes communication based on HDMI standard with another image processing device (30) through a communication passage (301), supplies the EDID information stored in the storage portion (131) and receives an image/sound signal from the another image processing device (30), a reproducing portion (121) which reproduces the image/sound signal received by the communication portion (111), and a changing portion (111-1) which changes the EDID information stored in the storage portion (131) when the reproducing portion (121) cannot reproduce the image/sound signal properly.","TOSHIBA CORPORATION","G09G"
2002,"An ink-jet printer comprising: \n a flat passage unit including a plurality of pressure chambers arranged along a first flat face of the passage unit, a plurality of nozzles each open in a second flat face of the passage unit opposite to the first flat face, the nozzles being connected to the respective pressure chambers, and a common ink chamber extending substantially along an arrangement of the plurality of nozzles, the common ink chamber being connected to each of the plurality of pressure chambers to supply ink to the pressure chambers; \n an actuator unit for applying ejection pressure to ink in each of the plurality of pressure chambers; and a cap including an annular lip to be in contact with the second flat face of the passage unit when printing is not performed, a portion of the lip opposite to the common ink chamber having a part not parallel to the common ink chamber.","BROTHER INDUSTRIES","B41J"
2005,"Techniques to mitigate inter-cell interference using joint time and frequency division are described. A frequency band is divided into multiple non-overlapping frequency subbands. The transmission timeline is divided into T in and T out time intervals. Data is exchanged with users in at least one inner region of a cell on the entire frequency band in the T in time intervals. Data is exchanged with users in multiple outer regions of the cell on the multiple frequency subbands in the Tout time intervals. The frequency band may be partitioned into three frequency subbands. Data may then be exchanged with users in first, second and third outer regions on first, second and third frequency subbands, respectively. The regions in which the users are located may be determined based on pilot and/or other measurements.","QUALCOMM","H04W"
2007,"A method is provided for masking a process used in generating a random number sequence. The method includes generating a random number sequence. This step involves selectively generating the random number sequence utilizing a ring structure which has been punctured. The method also includes performing a mixed radix conversion to convert the random number sequence from a first number base to a second number base. The method further includes puncturing the ring structure by removing at least one element therefrom to eliminate a statistical artifact in the random number sequence expressed in the second number base. The first number base and second number base are selected so that they are respectively defined by a first Galois field characteristic and a second Galois field characteristic.","HARRIS CORPORATION","G06F"
2007,"A structural analysis apparatus, including: state value calculation means (10) for calculating a state value of each of multiple elements constituting a model with which breakage of a structure is simulated; breakage determination means (11) for determining that an element among the multiple elements is broken when the state value of the element satisfies a breakage threshold condition that is set in advance for the element; crack face calculation means (11) for calculating a crack face (21) of the broken element that is determined to be broken by the breakage determination unit; and breakage threshold condition changing means (11) for changing a breakage threshold condition that is set for an element which is among the multiple elements, which is adjacent to the broken element, and which intersects with an extended face (22) of the crack face (21) of the broken element.","TOYOTA MOTOR CORPORATION","G06F"
2007,"A charger is adopted to charge a first-type battery pack (100) and a second-type battery pack (200), each type of battery packs having an insertion portion whose shapes are different. The charger is provided with a housing (12) having a battery pack socket (16) for inserting the battery packs. The battery pack socket has a shape that allows the insertion portion of the first-type battery pack and the insertion portion of the second-type battery pack to be inserted thereto selectively in a prescribed attitude. A pair of output terminals (26,28) that output charging power is disposed within the battery pack socket. The pair of output terminals is electrically connected to the first-type battery pack when the insertion portion of the first-type battery pack is inserted into the battery pack socket in the prescribed attitude. Likewise, the pair of output terminals is electrically connected to the second-type battery pack when the insertion portion of the second-type battery pack is inserted into the battery pack socket in the prescribed attitude.","MAKITA CORPORATION","H02J"
2007,"An image forming apparatus (1) includes: an intermediate transfer belt (11) for, by rotation thereof, transferring a toner image on a surface thereof; a cleaner (82) for removing toner particles after the transfer by rotation of a cleaning brush (82) which touches the surface of the intermediate transfer belt (11) and rotated during the transfer; a current supplier (91) for supplying a cleaning current having a predetermined value (I2) to the cleaning brush (82) in accord with the transfer; and a controller (6) for controlling the intermediate transfer belt (11), cleaner (82) and current supplier (91). The controller (6) obtains a current time T1 and a previous rotation end time T2 of the cleaning brush (82), and when a time period during which the cleaning brush (82) has not rotated, which is calculated from the current time T1 and the rotation end time T2, is equal to a predetermined time period or longer, sets the cleaning current to 'I1'.","KONICA MINOLTA BUSINESS TECHNOLOGIES","G03G"
2007,"An object of the present invention is to provide an electric booster and a manufacturing method thereof in which it becomes possible to conduct a test of an electric motor alone without disassembling a motor casing, thereby facilitating the manufacturing process and reducing manufacturing cost. In an electric booster which drives an electric motor 40 in response to a movement of an input member 9 moving together with a brake pedal B, and generates a brake hydraulic pressure in a master cylinder 10 through a ball screw mechanism 50, the electric motor 40 comprises a stator 41 including a coil therein, a rotor 42 which rotates by applying current to the stator 41, and an annular motor casing 2 containing the stator 41 and the rotor 42. The ball screw mechanism 50 is fittedly disposed in the rotor 42. An opening 3b on one axial end side of the motor casing 2 has a larger diameter than an outer diameter of the ball screw mechanism 50. In manufacturing, after the electric motor 40 alone is tested, the ball screw mechanism 50 is inserted through the opening 3b and installed without the need of disassembling the motor casing 2.","HITACHI","B60T"
2007,"A pneumatic radial tire has a nominal section width of 255 mm or more, and an outer diameter of 720 mm or more. At least one carcass layer (6) is constructed between paired right and left bead cores (4) with the two end portions of the carcass layer (6) being folded back from the inside to the outside of the tire around the respective bead cores (4) in a way that their corresponding bead fillers (5) are enclosed in the two folded end portions thereof. The length of each bead filler (5) in the radial direction of the tire is 5% to 20% of the section height of the tire. The carcass layer (6) is formed of organic fiber cords each made of at least one type of organic fiber which has an expansion ratio of 1% to 5% when a load of 2.0cN/dtex is applied to the organic fiber. A sheet-shaped rubber reinforcement layer (7) with a thickness of 0.5 mm to 2 mm, whose rubber has a larger rigidity than that of the sidewall section (2), is interposed between the carcass layer (6) and a sidewall section (2) on each side of the tire.","YOKOHAMA RUBBER CO LTD","B60C"
2003,"The invention is directed to quick adjustment of a positional relationship between two axes when an error occurs in the positional relationship between the axes when a beam (8) is moved by two drive sources. According to movement of the beam (8) for component picking and mounting operations, linear scale signals (outputs relating to positions of one drive axis and another drive axes) from linear scale reading heads are inputted to a Y2 driver (96) and a Y1 driver (97) respectively. Since each of the Y2 driver (96) and the Y1 driver (97) has a calculation means and a control means, when inputted with both the linear scale signals, each of the Y2 driver (96) and the Y1 driver (97) calculates a difference between positions of the drive axes (Y1, Y2) of the beam (8) by the calculation means, and controls a moving member (9B) of a linear motor by the control means based on the difference so as to increase thrust of one drive axis in a case where the one drive axis is in a more backward position than another drive axis and reduces the thrust of one drive axis in a case where the one drive axis in a more forward position than another drive axis.","HITACHI HIGH-TECH INSTRUMENTS COMPANY","H05K"
2007,"Problem To provide a motorcycle wind screen structure which can reduce the size of a gap in a seal rubber. Solution The structure includes a rail (61) located below an upper cowl (41) and a slider (62) which engages with the rail (61) and slides; the upper cowl (41) has an opening (56) for passage of the slider (62) and a wind screen is coupled with the top of the slider (62); in the opening (56) of the upper cowl (41), a seal rubber (63) which extends from both sides of it and is in sliding contact with the slider (62) is located; and a rib (90) which extends downward from the opening (56) to suppress deformation of a base part of the seal rubber (63) is provided.","HONDA MOTOR COMPANY","B62J"
2007,"A valve plate is formed as a butterfly-type valve plate including a first and a second valve-plate half portions that extend in opposite directions to each other from a valve shaft. When the valve plate is at a first changeover position, the first valve-plate half portion is directed to the downstream side of a first intake passage from the valve shaft and the second valve-plate half portion is directed to the upstream side of the first intake passage from the valve shaft so that a first plate face of the valve plate forms a part of the first intake passage. When the valve plate is at a second changeover position, the first valve-plate half portion is directed to the downstream side of a second intake passage from the valve shaft and the second valve-plate half portion is directed to the upstream side of the second intake passage from the valve shaft so that a second plate face of the valve plate forms a part of the second intake passage. Accordingly, the power needed for changing over the valve plate and for keeping a predetermined changeover position can be reduced significantly.","HONDA MOTOR COMPANY","F02D"
2007,"A controller (C) which controls an electric motor (17) in such a manner that a rotational speed detected in a motor rotational speed detecting module (29) becomes a target rotational speed set in a target rotational speed setting module (37) controls, when a deviation between the rotational speed and the target rotational speed is large, a normally open solenoid valve (7) in such a manner that a controlled variable of the normally open solenoid valve (7) becomes smaller when the deviation is small.","HONDA MOTOR COMPANY","B60T"
2000,"An EL display device comprising a plurality of pixels (404), the pixels comprising EL elements (407), a plurality of source signal lines, a source signal line drive circuit (601), a first gate signal line drive circuit (605), and a second gate signal line drive circuit, wherein the source signal line drive circuit is configured to output any one bit of digital video signal among n bit of digital video signals to each of the plurality of source signal lines in each of (n + m) display periods in one frame period, with n and m being natural numbers, wherein the digital video signals are input from the plurality of source signal lines by inputting a first gate signal, light emitting or non-light emitting of the EL elements is selected by the digital video signals, the EL elements do not emit light when a second gate signal is input in the plurality of pixels, wherein the plurality of pixels are disposed in a matrix form, wherein the first gate signal line drive circuit is configured to input the first gate signal to each row of the plurality of pixels in turn, wherein the second gate signal line drive circuit is configured to input the second gate signal to each row of the plurality of pixels in turn, wherein the second gate signal line drive circuit is configured to input a second gate signal to a row of the plurality of pixels different from the p row to set the display period shorter than a period necessary to input the digital video signals to all the plurality of pixels while the first gate signal line drive circuit is configured to input the first gate signal to p row of the plurality of pixels, p being a natural number, in at least one display period of the (n + m) display periods, wherein n bit of digital video signals which the source signal line drive circuit inputs corresponds to i th n bit of digital video signals, with i being a natural number, n or less in k with k being a natural number, more than 2 or more and (n + m)or less display periods of the display periods (n + m), and wherein k display periods does not continue, and the digital video signals which the source signal line drive circuit output correspond to j th n bit of digital video signals, with j being different from i, and natural number, n or less, in a display period between the k display periods.","SEMICONDUCTOR ENERGY LABORATORY COMPANY","G09G"
2008,"A method for detecting capacity changes in a fluid in a flow channel (1) is disclosed. The method comprises the steps of leading the fluid to a surface (8) of a defined area A, where the heat transfer is enhanced compared with other portions of the flow channel (1); measuring the temperature T 0 of the fluid; heating the surface (8); recording the power ”Q/”t which is supplied during heating the surface (8); measuring the temperature T 1 of the heated surface (8); determining the heat transfer coefficient h of the fluid; and comparing the determined heat transfer coefficient h with a reference. Moreover, a device (3) for performing the inventive method is provided.","SIEMENS","G01K"
2007,"The present invention provides a spinning machine which can prevent reversed twine fibers in swirling from entwining each other without setting a diameter of a space part of a nozzle block to be an unnecessarily large size. It is assumed that the diameter of a cylindrical space part 43 is T, an inclination angle of an air nozzle 34 with respect to a plane surface orthogonal to an axis direction of the cylindrical space part 43 is ¸, and a length from a nipping point P at which the twine fibers 46 nipped by the front roller pair 22 are released to a center R of the entrance of a yarn passage hole 39 is L. And, when a relation of T ‰¥ Lcos¸ / À , is assumed, the twine fibers 46 reversed by a swirling airflow almost go around along the periphery wall of the cylindrical space part 43, that is, the inner periphery wall 44 of the nozzle block 33 in being reversed and in a planer view seen from the axis direction of the cylindrical space part 43. Therefore, the twine fibers 46 in swirling can be hardly entwined each other ( Fig 2 ).","MURATA MACHINERY","D01H"
2007,"In a distance/speed meter, first and second semiconductor lasers emit parallel laser light beams to a measurement target. A first laser driver drives the first semiconductor laser such that the oscillation interval in which at least the oscillation wavelength monotonically increases repeatedly exists. A second laser driver drives the second semiconductor laser such that the oscillation wavelength increases/decreases inversely to the oscillation wavelength of the first semiconductor laser. First and second light-receiving devices convert optical outputs from the first and second semiconductor lasers into electrical signals. A counting unit counts the numbers of interference waveforms generated by the first and second laser light beams and return light beams of the first and second laser light beams. A computing device computes the distance to the measurement target and the speed of the measurement target from the minimum and maximum oscillation wavelengths of the first and second semiconductor lasers and the count result obtained by the counting unit.","AZBIL CORPORATION","G01S"
2007,"In a bushing which has a terminal with a bend for connecting a conduit tube and a lead tube, the effect to cool the inner corner of the bend is enhanced. The bushing includes a conductive conduit tube, a conductive lead tube, and a terminal. The terminal has a bend and connects the conduit tube and the lead tube. Electric current and cooling gas flows in these tubes. A cooling means is provided for forced cooling of the inner corner of the bend of the terminal. One example of the cooling means is a guide vane which makes cooling gas flowing in the bushing come closer to the inner corner of the bend. A larger current can flow even when the bushing has the same size as a conventional one.","HITACHI","H02G"
2007,"An electronic keyboard musical instrument (1) has a load applier (1b), which gives rise to inner force sense equivalent to another musical instrument such as a piano in the player through black keys (2a) and white keys (2b), and the load applier (1b) has a mechanical load applier (3) applying a part of load to the keys (2a, 2b)and an electromechanical load applier (1d) applying a remaining part of load to the keys (2a, 2b) so that the manufacturer can reduce the actuator (4) in size.","YAMAHA CORPORATION","G10H"
2007,"A lock-up control system including a lock-up differential pressure generator (3,4) and a controller (5) that is programmed to: when increasing a lock-up differential pressure command value (T1) with time to establish the lock-up state of the torque converter (2), switch a gradient of the lock-up differential pressure command value (T1) from a first gradient to a predetermined gradient (d1) larger than the first gradient when an actual slip rotation speed (|Ne-Nt|) is decreased to a predetermined slip rotation speed value (”Ns) or less; and switch the gradient of the lock-up differential pressure command value (T1) from the predetermined gradient to a second gradient (d2) smaller than the predetermined gradient when the actual slip rotation speed (|Ne-Nt|) exceeds the predetermined slip rotation speed value (”Ns) again after being decreased to the predetermined slip rotation speed value (”Ns) or less.","NISSAN MOTOR COMPANY","F16H"
2007,"A GaN substrate having a large diameter of two inches or more by which a semiconductor device such as a light emitting element with improved characteristics such as luminance efficiency, an operating life and the like can be obtained at low cost industrially, a substrate having an epitaxial layer formed on the GaN substrate, a semiconductor device, and a method of manufacturing the GaN substrate are provided. A GaN substrate (1) has a main surface and contains a low-defect crystal region (52) and a defect concentrated region (51) adjacent to low-defect crystal region (52). Low-defect crystal region (52) and defect concentrated region (51) extend from the main surface to a back surface positioned on the opposite side of the main surface. A plane direction [0001] is inclined in an off-angle direction with respect to a normal vector of the main surface.","SUMITOMO ELECTRIC INDUSTRIES","C30B"
2007,"A steering wheel with an air bag device includes: a steering wheel body having: an annular rim portion; a boss portion; a plurality of spoke portions; an upper space; and a plurality of lower spaces. The air bag device is mounted to the steering wheel body, the air bag device includes: an air bag; an inflator; a cover member covering the air bag; and an emblem disposed at a substantially central portion of a front surface of the cover member confronting a driver's seat. The cover member includes a tear line arranged to break to form a plurality of door portions each arranged to pivot toward one of the upper and lower spaces. The tear line is formed to pivot the emblem to one of the lower spaces of the steering wheel body when the cover member is broken at the inflation of the air bag.","NIHON PLAST COMPANY","B60R"
2007,"Opportunity of enjoying video and music is enlarged. A content reproducing device is used in a contents exchange system including a plurality of contents reproducing devices. The content reproducing device includes a short range communication unit (42), a memory (56), a control unit (58), and a speaker (48). The short range communication unit (42) communicates request information, response information, content data and flag information to/from content reproducing devices. The control unit (58) controls the short range communication unit (42) so that content data is transmitted. The control unit (58) controls the memory (56) such that the content data and the flag information received by the short range communication unit are stored.","FUNAI ELECTRIC COMPANY","H04L"
2007,"A microprocessor (71) commonly receives at an A/D port (72) the potentials of the power supplies output from a plurality of types of power supplies (a power supply (6) for HDMI, a power supply (60) for LSI, a power supply (61) for an audio driver IC, and a power supply (62) for a tuner). The A/D port (72) receives the potential of the voltage on an output line of the power supply (6) for HDMI that is divided. If that the potential of the divided voltage is lower than a set potential is detected, the output line is interrupted to interrupt power supply voltage supplied to external equipment.","FUNAI ELECTRIC COMPANY","G06F"
2007,"A water discharge structure of a vehicle air-conditioning system, which has an intake duct (2), a centrifugal fan (4), and an air-conditioning case (5), and discharges water that enters toward the centrifugal fan from the intake duct outside the air-conditioning case, includes a first communicating section which communicates a lower portion of a scroll casing for housing the centrifugal fan to a bottom wall face of the intake duct, a second communicating section which communicates an upper portion of the air-conditioning case to the lower portion of the scroll casing, a water discharge groove (12) formed along an inner face of an air distribution path of the air-conditioning case from an inner face position of the air-conditioning case where the water drops from the second communicating section, and a drain structure which is disposed in a lower portion of the air-conditioning case.","CALSONIC KANSEI CORPORATION","B60H"
2007,"A secondary battery (10) includes: an electric cell layer (16) including a stack structure (12,13,15) sequentially including: a positive electrode layer (12), a separator layer (13), and a negative electrode layer (15) having an electrolyte higher in conductivity than an electrolyte of at least one of the separator layer (13) and the positive electrode layer (12).","NISSAN MOTOR COMPANY","H01M"
2007,"There is provided a skin material with a substrate (20) and a polymeric layer (10). The polymeric layer has a first surface adhering to the substrate and a second surface being exposed to the outside and formed with fine recesses. The fine recesses have a depth (S3) of 30 to 130 ¼m and a projected area ratio of 5 to 20% with respect to the total projected area of the second surface of the polymeric layer.","NISSAN MOTOR COMPANY","B29C"
2008,"1. The invention concerns an interface unit (1) adapted for connecting at least one database (D1, D2, ..., Dn) to at least one of a plurality of high availability cluster servers (HA cluster servers) (S1, S2, ..., Sn), wherein each database (D1, D2, ..., Dn) is adapted to execute a set of database-specific commands (DC1, DC2, ..., DCn) and wherein each HA cluster server (S1, S2, ..., Sn) is adapted to output a set of HA cluster server-specific commands (SC1, SC2, ..., SCn), the interface unit (1) comprising: \n a. a first interface layer (I1) adapted for receiving each of the set of HA cluster server-specific commands (SC1, SC2, ..., SCn) outputted by the HA cluster servers (S1, S2, ..., Sn); and \n b. a second interface layer (I2) adapted for sending each of the set of database-specific commands (DC1, DC2, ..., DCn) to the respective databases (D1, D2, ..., Dn); wherein \n c. the interface unit (1) is further adapted to map each of the HA cluster server-specific commands (SC1, SC2, ..., SCn) to at least one of the database-specific commands (DC1, DC2, ..., DCn).","SOFTWARE","G06F"
2007,"There is described a decodable indicia reading terminal which in one embodiment can capture and process a certain (e.g., a first) and a subsequent (e.g., a second) frame of image data, wherein the certain and the subsequent frames have different imaging attributes. In one embodiment the attributes between certain and subsequent frames are differentiated in that the certain frame represents light incident on pixels of a first image sensor (111) and the subsequent frame of image data represents light incident on pixels of a second image sensor (211) spaced apart from the first image sensor. Additionally, or in the alternative, the attributes between certain and subsequent frames can be differentiated in that the first frame represents light incident on an image sensor under a first illumination profile and the subsequent frame represents light incident on pixels of an image sensor under a second illumination profile. In one embodiment imaging attributes of a frame subject to decoding are maintained constant for each frame subject to processing during a time that a trigger signal remains active. In one embodiment the certain and subsequent frames can be processed to yield partial decoding results and the partial decoding results can be combined to form a complete decoding result.","HAND HELD PRODUCTS","G06K"
2004,"A piezoelectric device including: a substrate (1); a first conductive layer (4) formed over the substrate (1), the first conductive layer including a low-resistivity layer (40), a buffer layer (41) formed over the low-resistivity layer (40), and a conductive oxide layer formed of a (001) preferentially oriented lanthanum nickelate, and the lanthanum nickelate having oxygen deficiency; a piezoelectric layer (5) formed over the first conductive layer (4) and including a piezoelectric having a perovskite structure; and a second conductive layer (6) electrically connected with the piezoelectric layer (5). The low-resistivity layer (40) is formed of a conductive material having a resistivity lower than a resistivity of the lanthanum nickelate, the conductive material including at least one of a metal, an oxide of the metal, and an alloy of the metal. The metal is at least one of Pt, lr, Ru, Ag, Au, Cu, Al, and Ni.","SEIKO EPSON CORPORATION","H01L"
2000,"The present application relates to a target used to form a hard film, which has a composition defined by (Ti 1-x-y-z-w , Al x , Cry, Si z ,B w ), 0.6 ‰ x ‰ 0.8, 0.06 ‰ y ‰ 0.3, 0 ‰ z ‰ 0.1, 0 ‰ w ‰ 0.1, 0 ‰ z + w ‰ 0.1, x + y + z + w < 1, 1 - x - y - z - w < 0.2 (where x, y, z, and w denote respectively the atomic ratios of Al, Cr, Si, and B), and wherein the target has a relative density not lower than 95%.","KOBE STEEL","C23C"
2007,"There are provided an adhesive-agent disposing step ST11 of disposing the adhesive agent, a first curing step ST12 of curing part of the adhesive agent disposed (including an adhesive-agent-disposition providing step of the present invention), a painting step ST13 of coating a paint on the works W, and a heating step (a second curing step) ST14 of applying a heating treatment with a drying device. There can be provided a joining method of works that can ensure a high joining quality and productivity.","MAZDA MOTOR CORPORATION","C09J"
2008,"The present invention concerns replicons of pestiviruses, in particular replicons of swine fever virus, engineered to have a defective replication thereby having lost infectivity, and further containing a foreign gene. A replicon of the invention contains all the genetic information required for its replication, but lacks essential codons or all codons of at least one of the genes encoding the viral structural proteins E1, E2, E rns or C protein, and consequently cannot generate infectious virus particles. Particular replicons are generated with a mutated gene encoding a modified N pro protein that no longer controls the cell interferon-induction pathway. Another particular replicon lacks the genes encoding all the structural proteins, the p7 protein and the NS2 protein, and has cytopathogenic properties in transduced cells. The replicons of the invention provide a new vector system that can be used for vaccination, gene delivery and gene therapy applications in mammals, including humans, as naked RNA or packaged into any form of delivery vehicle.","INSTITUT FUR VIRUSKRANKEITEN UND IMMUNPROPHYLAXE","C12N"
2007,"[Problem] To provide an industrial robot that can reduce a physical impact to be made upon a transfer object when the transfer object is grasped by mechanical construction. [Means to Solve the Problem] A robot 1 includes: a robot hand 3A for mounting a wafer 2, and a multi-joint arm section 4 having a second arm 6 that holds the robot hand 3A. The robot hand 3A includes: a grasping part 28A for grasping a wafer 2, and a biasing member for biasing the grasping part 28A in a direction for grasping the wafer 2. The second arm 6 includes an eccentric member 31A, which is placed at a position being eccentric from a turning center of the robot hand 3A and contacts the grasping part 28A so as to evacuate the grasping part 28A from the wafer 2 before starting operation of taking out the wafer 2. The eccentric member 31 A moves in comparison with the grasping part 28A according to the expanding/folding motion of the multi-joint arm section 4 for taking out the wafer 2, so as to have the grasping part 28A move in a direction for grasping the wafer 2. The grasping part 28A starts grasping the wafer 2 at the time of deceleration in the expanding/folding motion of the multi-joint arm section 4 for taking out the wafer 2.","NIDEC SANKYO CORPORATION","B25J"
2008,"The application relates to an ultralight and perfumed compass. The compass is made of an aluminium alloy. A coloured coating on the surface of the compass comprises microspheres filled with perfume which, upon manual rubbing of the surface, release the perfume.","KRONOS","B43L"
2008,"The invention relates to a cooking device (1, 12) for a cooking container (10, 11), \n a) wherein the cooking device (1, 12) comprises at its lower surface (20) a curved, especially concave, cooking surface (2) adapted to the form of the cooking container (10, 11), \n b) wherein the cooking surface (2) comprises a first (2a) and a second (2b) partial surface, \n c) wherein the cooking container (10, 11)comprises a first area (20a) adjacent to the first partial surface (2a) and a second area (20b) adjacent to the second partial surface (2b), \n d) wherein the first area (20a) is heated by a first induction element (3) and the second area (20b) is heated by a second induction element (4), \n e) wherein each induction element (3, 4) comprises an individual heat sensor (3d, 4d) and \n f) wherein at least the second induction element (4) can be controlled independently from the first induction element (3).","ELECTROLUX HOME PRODUCTS CORPORATION","H05B"
2007,"A Back Twister comprises: \n a horizontal supporting platform 1 with attached bearing structure 6, \n an elliptical stepper with two footholds 3 attached to the horizontal supporting platform 1 \n a hand rotary member with two hand grips 7 attached to the bearing structure 6, \n a kinematic transmission 8 connecting the elliptical stepper and hand rotary member such that they are rotatable in synchronisation with a 1:1 gear ratio and the user having steady position may perform an elliptical motion with feet and circular motion with hands while keeping his/her torso suspended freely above the bearing structure whereby the only support for the users body are the footholds and hand grips, which provides good exercising for muscles and joints of the spinal column, The distance between the elliptical stepper and hand rotary member is adjustable, to suit different sized users.","AKHMETOV, ZINNOOR","A61H"
2008,"The invention relates to a compound tube, (or multilayer pipe), product comprising inner and outer plastic, or polymer, layers and an intermediate metallic layer where the intermediate metallic layer is a composite aluminium sheet wherein the composite aluminium sheet comprises a core layer and at least one clad layer. The core layer is preferably selected from the alloy compositions of the 5XXX, 6XXX or 8XXX series alloys and the at least one clad layer is selected from the alloy compositions of the 1XXX, 3XXX or 7XXX series alloys.","NOVELIS","B32B"
2007,"An ink composition includes: first particles (A) which are insoluble and dispersed in an aqueous dispersion medium, a polarity of the first particles (A) being one of positive and negative; and second particles (B) which are insoluble and dispersed in the aqueous dispersion medium, the second particles (B) including both a cationic group and an anionic group, the second particles (B) having a zeta potential that changes along with a change in pH of the aqueous dispersion medium, percentage of a water-soluble component in the second particles (B) being not higher than 5 % by mass.","FUJIFILM","C09D"
2002,"The present invention relates to a sliding element (1) for a shoe sole, in particular of a sports shoe, with an upper sliding surface (3) and a lower sliding surface (2), wherein the lower sliding surface (2) is arranged below the upper sliding surface such as to be slideable in at least two directions. The upper sliding surface is provided as the lower side of an upper heel cup (3) and the lower sliding surface is provided as the upper side of a lower heel cup (2). The upper and the lower heel cups are preferably substantially shaped like the section of a surface of a sphere.","ADIDAS INTERNATIONAL MARKETING","A43B"
2007,"A packaging box of a mobile terminal is disclosed. When an external cover is opened, a pop-up member is protruded to provide cubic and distinctive information to a user. An internal cover provided within the packaging box is opened by cooperatively operating with the external cover by virtue of the pop-up member.","LG ELECTRONICS","B65D"
2007,"A microscope system that is capable of changing a status of observation of a sample (8) comprises an illumination unit (3) for applying illumination light to the sample; a driving unit (15) for driving one or more optical members including an objective lens (12); a position changing unit (15) for changing a relative position of the sample and the objective lens; a control unit (16) for controlling the illumination light for the sample to be applied, cut off or reduced; an instruction unit (16) for giving instruction for driving the one or more optical members or for the changing of the relative position; an image capturing unit (18) for capturing an observed image of the sample as a still image or a live image; and a display unit (22) for displaying the still image or live image captured by the image capturing unit. The microscope system changes an order for performing operations in accordance with the instruction from the instruction unit, the operations including an operation of driving the one or more optical members or changing the relative position; an operation of switching the illumination light for the sample from being cut-off or reduced to being applied; and an operation of switching the image displayed in the display unit from the still image to the live image.","OLYMPUS CORPORATION","G02B"
2007,"A semiconductor device includes an insulating substrate (1) and a TFT element disposed on the substrate (1). The TFT element includes a gate electrode (2), a gate insulating film (3), a semiconductor layer, and a source electrode (601) and a drain electrode (602) arranged in that order on the insulating substrate (1). The semiconductor layer includes an active layer (4) composed of polycrystalline semiconductor and a contact layer segment (501) interposed between the active layer (4) and the source electrode (601) and another contact layer segment (502) interposed between the active layer (4) and the drain electrode (602). The source and drain electrodes (601, 602) each have a first face facing the opposite face of the active layer (4) from the interface with the gate insulating layer (3) and a second face, facing an etched side face of the active layer (4) . Each contact layer segment (501, 502) is disposed between the active layer (4) and each of the first and second faces of the source or drain electrode (601, 602).","HITACHI DISPLAYS","H01L"
2007,"In an intake air mass flow measurement device, for preventing clogging in a pressure intake tube due to water or the like entering the pressure intake tube in a device measuring a pressure in the intake air tube, the intake air mass flow measurement device includes a mass air flow measurement device (100) for measuring an intake air mass flow in an intake air tube; and a pressure sensing device (150) for sensing pressure in the intake air tube, the pressure sensing device being integrated with the mass air flow measurement device, and an aperture plane opened to the inside of a main air flow passage for detection of the pressure takes in pressure by using a gap generated between a main air flow passage constituting member (200) and an insertion part of the mass air flow measurement device (100) when a measurement part of the mass air flow measurement device (100) is inserted into the main air flow passage. With this construction, it is possible to provide a structure in which water or the like can hardly clog the pressure intake port.","HITACHI","G01F"
