"APPLN_AUTH","APPLN_ID","EARLIEST_FILING_YEAR","APPLN_ABSTRACT","IPC4","PSN_NAME"
"EP",23044,2007,"A method and apparatus for controlling the timing of a state transition of a serial data line (SDA) in an I2C controller are provided. The apparatus includes a processor, a serial clock line (SCL) edge detector, a counter, and an SDA generator. The processor controls an I2C controller. The SCL edge detector detects an edge of a clock signal of an SCL. The counter counts a hold time of the state transition of the SDA if a falling edge of the clock signal of the SCL is detected by the SCL edge detector. The SDA generator transits the state of the SDA if the count of the hold time is finished. Therefore, a malfunction in an I2C communication can be prevented without using a compensation circuit requiring a lot of time and cost.","G06F","SAMSUNG ELECTRONICS COMPANY"
"EP",23046,2005,"A device including a display screen for displaying m-words of data, a text entry device for entering data, a processor receiving data from the text entry device and causing it to be displayed on the display screen. Upon activation the processor initializes a precursor to a predefined value. The device further includes a non-volatile memory storing a dictionary containing a plurality of entries, each entry including an index, a candidate word, and a score. The processor selects a list of n-number of candidate words from the dictionary whose index matches the precursor, and causes m-number of candidate words from the list of candidate words to be displayed on the display screen. The processor causes the display to prompt the user to select one of the displayed candidate words or enter a desired word using the text entry device. Furthermore, a tech-mode for extending a word dictionary for word-based text input is provided.","G06F","NEUER WALL TREUHAND"
"EP",23048,2005,"The present invention is intended for all documents and specifically provides matters-of-interest to users and characteristic information of those matters-of-interest in correspondence to identifiers within the documents and allows related services to be utilized through these documents. An information display system 1 having an input device 11, a display device 10, a memory device 7, an information display software 15 that reads document data, and a CPU 5, \n wherein the memory device 7 comprises a usable information storage unit 17 that describes multiple matters-of-interest, identifiers which identify one or more matters-of-interest from among the multiple matters-of-interest, characteristic information of each matter-of-interest, and related information of each matter-of-interest, with the association with the identification information of the matters-of-interest; and a program storage unit 14 that stores computer software executed by a CPU 5; \n the system comprises functions for \n receiving from the input unit the selection of an identifier type to be extracted from document data by a system software 16, \n specifying an identifier pertaining to the selection in the document data read by the information display software 15, \n requesting the usable information storage unit 17 or the information delivery server system 3 for the characteristic information of a matter-of-interest based on the specified identifier, \n acquiring the characteristic information of the matter-of-interest based on the specified identifier from the usable information storage unit 17 or the information delivery server system 3 \n displaying the acquired characteristic information in a display device by embedding the information in the vicinity of the location of the identifier. \n utilizing related information of the matter-of-interest via the identifier and characteristic information.","G06F","BITS COMPANY"
"EP",23050,2007,"Queries in a distributed database system are received at computer devices participating in the database system. A determination is made as to which of the respective, participating computer devices has data relevant to the query. Information about the computer device(s) which has or have the relevant data is communicated to the participating computer devices. Such information is used to determine, at each of the respective participating computer devices, a benefit value for at least one of the participating computer devices. A determination is made as to which of the participating computer devices will process the query by comparing the benefit values for the participating computer devices.","G06F","SAP"
"EP",23052,1999,"The present invention makes it possible to achieve data adaptation in accordance with a user's preferences, by holding a user's preference information for each content as user preferences, selecting a data segment according to user preferences, and performing resolution conversion on the basis of segment priority level and terminal capability, thereby enabling data adaptation to be performed for each content in a form the user wishes to see.","G06F","PANASONIC CORPORATION"
"EP",23054,2007,"A display controller includes a character display unit for displaying character information on a display unit; a keyword detecting unit for detecting a predetermined keyword from the character information displayed by the character display unit; an image information detecting unit for detecting image information including additional information corresponding to the keyword detected by the keyword detecting unit, from image information including predetermined additional information and stored in a storing unit; and a thumbnail image displaying unit for displaying on the display unit a thumbnail image(s) of the image information detected by the image information detecting unit.","G06F","SONY MOBILE COMMUNICATIONS"
"EP",23056,2005,"A CAD apparatus is comprised of: input unit 102A for Inputting design input information of the component model by a CAD operator; sequence information storage unit 105A for previously storing thereinto sequence information corresponding to information produced by dividing all of designing processes related to the component model and by ordering the divided designing processes; designing reference storage unit 1058 for previously storing thereinto a designing reference which constitutes a reference for designing the component model, and has been allocated to each of the plural-divided designing processes; designing unit 101 A for judging whether or not the designing input information entered in each of the designing processes can satisfy the designing reference, and for automatically designing the component model allocated to the designing process and for permitting a transfer to the next designing process in such a case that the designing unit judges that the designing input information can satisfy the designing reference; and display unit capable of displaying thereon at least the component model designed by the designing unit 101A.","G06F","YAZAKI CORPORATION"
"EP",23060,2007,"A system and method for consumer-side (101) authorization and authentication is disclosed. In one embodiment, the method comprises receiving a request (210) for a credential from a business-side party (102), matching the credential request (220) to a set of available credentials, the available credentials comprising consumer-side information. The credential is retrieved from a credential store (230), and the authorization of the business-side party to receive the credential is evaluated (240) before returning a response (270). In another embodiment, the system comprises a receiver module (210) adapted to receive credential requests from business-side parties. The credential request is passed to a selection and matching module (220) for matching against consumer-side credentials. The credential is retrieved from a storage and retrieval module (230), but is not passed until an authorization module (240) allows a sender module (270) to return a credential response to the business-side party.","G06F","NOVELL"
"EP",23064,2005,"A communication terminal apparatus includes a storage section configured to store a library function in which a first specific instruction is executed a process to be executed prior to a communication with a communication target and a second specific instruction is executed before returning to a call source, a client application, an attribute value group of the client application, and an permissible address range of the first specific instruction. A communication instruction execution control section controls execution of a communication instruction based on the attribute value group of the client application, when the client application executes the communication instruction to generate an internal interruption. A security gate entering section checks whether or not an address of the first specific instruction is within a permissible address range when the client application executes the first specific instruction to generate the internal interrupt, and changes the attribute value group of the client application when the address of the first specific instruction is within the permissible address range. A security gate exiting section returns the attribute value group of the client application to an original state when the client application executes the second specific instruction to generate the internal interrupt.","G06F","NEC CORPORATION"
"EP",23066,2005,"A mobile terminal (200) comprises an application execution unit (240) configured to execute an application program; an access control rule management unit (270) configured to retain an access control rule defining whether the application program has an access authorization to a confidential resource in the mobile terminal and a determining unit; an access control rule query unit (220) configured to acquire, from an external device, the access control rule by designating at least one of an identifier of a user identity module installed in the mobile terminal and an identifier of the mobile terminal, and to retain the acquired access control rule in the access control management unit; a query requirement determination unit (260) configured to determine whether to update the access control rule when the application program makes an access to the confidential resource, and to update the access control rule; an authorization management unit (230) configured to determine whether the application program has the access authorization based on the access control rule; and a confidential resource management unit (250) configured to determine whether to permit an access request to the confidential resource by the application program, based on a result of the determination of the authorization management unit (230).","G06F","NTT DOCOMO"
"EP",23068,2005,"The present invention provides a data management program for performing monitoring so that user data provided to the client cannot be copied and utilized for a purpose other than the intended purpose. When a storage device (8) storing user data (3) is connected to a client computer (12), a management program (4) prohibits writing to all of the external storage devices. The management program (8) makes settings prohibiting usage of a network (7). The management program (4) performs control by acquiring the file name, folder name, and attribute data of the execution file as well as the process name and process ID of the process being executed. The management program (4) has built-in driverware (50) which runs in the kernel mode (15) of an operating system (21) and serves to provide a common interface for the communication of device drivers (35, 36, 42 to 44) and an application program (20).","G06F","SCIENCE PARK CORPORATION"
"EP",23070,2005,"A reading unit 8 reads, from a memory card 300, encrypted license information and license management information corresponding thereto. A decryption unit 9 decrypts the encrypted license information, and thereby obtains license information in plain text. An operation execution unit 2 executes an operation based on the license information in plain text. Here, the license management information indicates, for each operation for the content, a type of identifier necessary for decrypting the encrypted license information. The decryption unit 9 decrypts the encrypted license information with use of an identifier corresponding to the operation to be executed, the identifier being selected from among a plurality of types of identifier indicated by the license management information.","G06F","PANASONIC CORPORATION"
"EP",23124,2001,"The invention is a game apparatus comprising a plurality of satellites connected to central controlling means, and display means with a miniature race field on which a plurality of miniature racing objects perform races under the control of the central controlling means; wherein each of said plurality of satellites is provided with betting and paying-out means and a display, wherein each player elects for an expected racing result and bets at one of the satellites. The central controlling means provide each of the satellites with pages of information about the racing objects and plural possible racing results. The player selects at least one of the pages and all of the possible racing results displayed on the selected page are set as the player's election.","G06F","SEGA CORPORATION"
"EP",23270,2004,"A method and apparatus for bonding integrated circuits uniquely suited to high volume tag production is described, where conductive material of a substrate at the die-attach-area is cut before an IC chip or transponder is placed on the conductive material over the cut and bonded. The apparatus performs the method of placing a first chip on a substrate having a conductive layer, measuring the location of the first chip on the substrate, cutting the conductive layer at a location of an expected subsequently placed chip to form a cut based on the measured location of the first chip, and placing the subsequently placed chip on the substrate over the cut.","H01L","CHECKPOINT SYSTEMS"
"EP",23272,2006,"Objective: The present invention relates to a cleaning liquid for an electronic material, particularly, a silicon wafer and a cleaning method using the same. Means for Solution: The cleaning method according to the present invention is characterized by using ultra-pure water or hydrogen water as raw material water and uses the cleaning liquid in combination with ultrasonic irradiation under presence of hydrogen micro-bubbles. Effects: The method of the present invention enables efficient cleaning and removal of particle components and the like on the wafer surface and prevention of re-contamination.","H01L","SILTRONIC"
"EP",23274,2005,"An exposure apparatus in which a projection optical system and a sensor for measuring the positional relationship with a predetermined member can be supported by a relatively simple and lightweight mechanism while lessening the influence of vibration on the projection optical system. In a projection exposure apparatus for projecting the image of the pattern on a reticle (R) onto a wafer (W) by means of a projection optical system (PL), the projection optical system (PL) is suspended from a base frame (18) through suspending members (35A to 35C) and supported, and a measuring frame (15) to which sensor columns (34A, 34B) provided with laser interferometers (12A, 12B) are secured is suspended from the base frame (18) through suspending members (38A to 38C) and supported.","H01L","NIKON CORPORATION"
"EP",23276,2005,"For a plurality of divided areas on a wafer that is exposed by generating measurement pattern images, a predetermined statistic that includes the deviation of the luminance value of each pixel included in imaging data obtained by the imaging with respect to a predetermined reference value is computed, for example, the variance is computed, and optical characteristics of a projection optical system are obtained based on a computation result of the computed statistic of each of the divided areas (steps 504, 506, 512 and 514). Therefore, the optical characteristics can be measured with good repeatability even by a measurement device such as a microscope having a lower resolution compared with the SEM or the like, for example, an alignment sensor by an image-forming method of an exposure apparatus or the like.","H01L","NIKON CORPORATION"
"EP",23278,2005,"An exposure apparatus (EX) that irradiates exposure light (EL) onto a substrate (P) to expose the substrate, comprises an optical element (LS1) that has a concave surface (2) from which the exposure light is emitted, a supply port (12) that is provided on an object (4) that can be placed in opposition with the concave surface and that supplies a liquid to the space between the concave surface and the object, and a suction port (22) that is provided on the object and suctions the fluid of the space between the concave surface and the object.","H01L","NIKON CORPORATION"
"EP",23280,2005,"This invention proposes the use of a thermodynamic screen placed under the electronic devices whose excess noise is to be reduced in order to block the transverse currents between said devices and subjacent layers that are responsible for the aforementioned excess noise. For epitaxial layers as those used in Microelectronics, the barrier layer (2) with an opposed doping to the epilayer supporting the devices (4), and the non-doped separating layer (3) form the thermodynamic screen which, embedded between the epilayer (4) and the substrate (1), reduces the aforementioned transverse currents and thus the excess noise of the devices on the epilayer (4) when they are biased. The connection between the ohmic contact (7) of the screen layer (2) with the source (6) of the FET transistors of the epilayer (4) (dashed line) or with their gate (5) removes the thermal noise of the capacitor that existed under those FET transistors and hence, the corresponding excess noise in these devices","H01L","UNIVERSIDAD POLITECNICA DE MADRID"
"EP",23282,2005,"The present invention has been achieved to provide a method and apparatus for speedily and homogeneously fabricating polycrystalline silicon films or similar devices at low cost. A silicon target is attached to a water-cooled electrode, while a substrate made of a desired material is set on the other, heated electrode. When atmospheric pressure hydrogen plasma is generated between the two electrodes, silicon atoms will be released from the low-temperature target on the side and deposited on the high-temperature substrate. A doped silicon film can be created by using a target containing a doping element. Since there is no need to handle expensive and harmful gases (e.g. SiH 4 , B 2 H 6 and PH 3 ), the apparatus can be installed and operated at lower costs. In an application of the film producing method according to the present invention, an objective substance can be selectively purified from a target containing a plurality of substances.","H01L","SHARP CORPORATION"
"EP",23284,2005,"A semiconductor manufacturing apparatus which performs a rapid heat treatment in which metallic thin films 11 and 12 to be metallic electrodes are formed on a top surface and a bottom surface of a silicon carbide semiconductor substrate 10, and thereafter, the silicon carbide semiconductor substrate 10 is heated. The semiconductor manufacturing apparatus is configured such that the silicon carbide semiconductor substrate 10 is held by a holding structure 20 by means of a contact with an exterior of a region formed with the metallic thin films 11 and 12 on the silicon carbide semiconductor substrate 10, and the held silicon carbide semiconductor substrate 10 is placed in an interior of a heating chamber of the semiconductor manufacturing apparatus.","H01L","NISSAN MOTOR COMPANY"
"EP",23286,2005,"Nanoporous substrate with fine pores having a diameter from 3 to 40 nm arranged with less than 60 nm periodicity is prepared by a method comprising the steps of coating amphipathic block copolymer on a substrate, forming a film containing hydrophilic cylinders aligned perpendicularly to the surface of the film on a substrate, and immersing the substrate into a solution containing an etchant.","H01L","TOKYO INSTITUTE OF TECHNOLOGY"
"EP",23288,2007,"Affords a III-V compound semiconductor substrate manufacturing method that enables enhancement of the substrate PL intensity. In such a III-V compound semiconductor substrate manufacturing method, first, the surface 3a of a wafer 3 is polished (polishing step). Second, the surface 3a of the wafer 3 is cleaned (first cleaning step S 7). Next, the surface 3a of the wafer 3 is subjected to first dry-etching, employing a halogen-containing gas, while first bias voltage is applied to a chuck 24 for carrying the wafer 3. Subsequently, the surface 3a of the wafer 3 is subjected to second dry-etching, employing the halogen-containing gas (second dry-etching step Sll), while second bias power lower than the first bias power is applied to the chuck 24.","H01L","SUMITOMO ELECTRIC INDUSTRIES"
"EP",23290,2005,"By an electronic component mounting method for electrically connecting bumps to board electrodes, in a contact process for placing a thermosetting resin in a liquid glob state on the board surface and bringing the lower surface of the electronic component in contact with the thermosetting resin, the bumps are pressurized against the electrodes in positional alignment in a liquid glob distribution state where one portion of the liquid glob is arranged inside an electronic component mounting region and a remaining portion greater in liquid measure than the portion is arranged outside the electronic component mounting region. The thermosetting resin enters into a gap between the electronic component and the board by capillarity in a thermocompression bonding process. This prevents voids occurring in the sealing resin, reinforces bonded portions of bumps and electrodes with thermally cured thermosetting resin, thereby preventing bonded portion breakage due to thermal stress generated during a cooling process.","H01L","PANASONIC CORPORATION"
"EP",23292,2007,"A semiconductor device manufacturing method includes (a) bonding a first surface of a metal plate to a substrate, (b) forming a plurality of metal posts that are arranged in vertical and lateral directions in a plan view and include a first metal post and a second metal post, by partially etching the metal plate bonded to the substrate from a second surface of the metal plate, (c) fixing an integrated circuit element to the second surface of the first metal post, (d) coupling the second metal post and a pad terminal of the integrated circuit element via a conductive material, (e) resin-sealing the integrated circuit element, the metal posts, and the conductive material by providing a resin onto the substrate, and (f) removing the substrate from the resin and the first surfaces of the metal posts sealed using the resin.","H01L","SEIKO EPSON CORPORATION"
"EP",23294,2007,"The invention relates to a method for manufacturing compound material wafers, in particular, silicon on insulator type wafers, comprising the steps: Providing an initial donor substrate, forming an insulating layer over the initial donor substrate, forming a predetermined splitting area in the initial donor substrate, attaching the initial donor substrate onto a handle substrate and detaching the donor substrate at the predetermined splitting area, thereby transferring a layer of the initial donor substrate onto the handle substrate to form a compound material wafer. In order to be able to reuse the donor substrate more often, the invention proposes to carry out the thermal treatment step to form the insulating layer at a temperature of less than 950°C, in particular, less than 900°C, preferably at 850°C. The invention also relates to a silicon on insulator type wafer manufactured according to the inventive method.","H01L","S.O.I.TEC SILICON ON INSULATOR TECHNOLOGIES"
"EP",23296,2007,"A display device includes an insulating substrate, a switching TFT formed on the substrate that receives a data voltage and that includes a first semiconductor layer, a driving TFT formed on the substrate that includes a control terminal connected to an output terminal of the switching TFT and a second semiconductor layer including polysilicon and a halogen material, an insulating layer formed on the switching TFT and the driving TFT, a first electrode formed on the insulating layer and electrically connected to an output terminal of the driving TFT, an organic light emitting layer formed on the first electrode, and a second electrode formed on the organic light emitting layer.","H01L","SAMSUNG ELECTRONICS COMPANY"
"EP",23298,2005,"There is provided an electronic device that includes a circuit element that transmits a signal to an external board and receives the signal from the external board, a signal wire that connects the external board to the circuit element, and a heat radiation wire that thermally contacts the circuit element, and radiates heat from the circuit element.","H01L","FUJITSU"
"EP",23300,2006,"A passive component incorporating interposer includes a double-sided circuit board (1) having a wiring layer (8) on both sides, a passive component (2) mounted on the wiring layer (8) on one surface of the double-sided circuit board (1), a second insulating layer (3) made of woven fabric or non-woven fabric or inorganic filler and thermosetting resin laminated on the surface of the double-sided circuit board (1) mounted with the passive component (2), a first insulating layer (4) made of woven fabric or non-woven fabric or inorganic filler and thermosetting resin laminated on the other surface of the double-sided circuit board (1) not mounted with the passive component (2), first and second wiring layers (5, 6) formed on the first and second insulating layers (3, 4), and a through hole (7) for electrically connecting the wiring layers (8) disposed on both surfaces of the double-sided circuit board (1) and the first and second wiring layers (5, 6), where the first wiring layer (5) is formed to enable mounting of a semiconductor element (9).","H01L","PANASONIC CORPORATION"
"EP",23302,2004,"A wireless sensor chip suitable for the compact, high-sensitive, and low-cost examination apparatus for easily examining a biological material such as gene at low cost is provided. A sensor chip is formed on an SOI substrate, and an n-type semiconductor layer on which a pMOS transistor is formed and a p-type semiconductor layer on which an nMOS transistor is formed are isolated by a pn junction. Therefore, the p-type semiconductor layer at the outermost portion (chip edge portion to be in contact with solution) is set to floating, and the maximum potential and the minimum potential of the chip are supplied to an n-type semiconductor layer and a p-type semiconductor layer inside the outermost portion, respectively. Also, the chip is covered with an ion impermeable insulating film for reducing the penetration of positive ions through the oxide layer.","G01N","HITACHI"
"EP",23304,2004,"A solid-state imaging device capable of reducing an eclipse (blocking) of an incident light at a circumferential portion of a light receiving portion and realizing a larger angle of view and high-speed driving. A single-layer transfer electrode configuration of forming first transfer electrodes and second transfer electrodes by one polysilicon layer is adopted. Two shunt wirings extending in a horizontal direction are formed on the first transfer electrodes connected in a horizontal direction and, for example, four-phase transfer pulses are supplied to first transfer electrodes and second transfer electrodes on transfer channels through low-resistance shunt wirings extending in the horizontal direction.","H01L","SONY CORPORATION"
"EP",23306,2007,"One exemplary embodiment of a semiconductor structure (100) can include: \n (a) a semiconductor substrate (120) of one conductivity type, having a front surface (124) and a back surface (132) and including at least one via (110) through the semiconductor substrate (120), where the at least one via (110) is filled with a conductive material (118); and \n (b) a semiconductor layer (200) disposed on at least a portion (136) of the front or back surface (124 or 132) of the semiconductor substrate (120), where the semiconductor layer (200) is compositionally graded through its depth with one or more selected dopants, and the conductive material (118) is configured to electrically couple the semiconductor layer (200) to at least one front contact (272) disposed on or over the surface (132) of the substrate (120).","H01L","GE (GENERAL ELECTRIC COMPANY)"
"EP",23308,2005,"A photoelectric converter includes a lower electrode layer, a compound semiconductor thin film of a chalcopyrite structure functioning as a photoabsorption layer and a light transmitting electrode layer that are sequentially laminated on a substrate. An end portion of the of compound semiconductor thin film is positioned outward beyond an end of the light transmitting electrode layer.","H01L","ROHM COMPANY"
"EP",23310,2005,"Disclosed is a method for manufacturing a photoelectric converter wherein a lower electrode layer, a compound semiconductor thin film having a chalcopyrite structure which serves as a light absorptive layer and a light-transmitting electrode layer that are laminated to form layers are each patterned by photolithography, thereby minimizing damages to the crystals of the compound semiconductor thin film.","H01L","ROHM COMPANY"
"EP",23312,2005,"To provide a transparent conductive substrate for solar cells, whereby the resistance of the tin oxide layer is low, and the absorption of near infrared light by the tin oxide layer is low. A transparent conductive substrate for solar cells, which has at least two types of layers including a silicon oxide layer and multi-laminated tin oxide layers adjacent to the silicon oxide layer, formed on a substrate in this order from the substrate side, wherein the multi-laminated tin oxide layers include at least one tin oxide layer doped with fluorine and at least one tin oxide layer not doped with fluorine.","H01L","ASAHI GLASS COMPANY"
"EP",23318,2005,"Disclosed is a charge-transporting varnish containing a charge-transporting organic material, a good solvent, at least one poor solvent with high leveling properties, and at least one volatile poor solvent. The charge-transporting organic material is composed of a charge-transporting material consisting of a charge-transporting monomer or a charge-transporting oligomer having a number average molecular weight of 200 to 5000, or alternatively composed of such a charge-transporting material and an electron-accepting dopant material or a hole-accepting dopant material. This charge-transporting varnish enables to form a uniform and smooth charge-transporting thin film by a spray method or an ink jet method on an exposed electrode portion such as ITO or IZO of a substrate on which a structure of a simple or complicated pattern is formed beforehand.","H01L","NISSAN CHEMICAL INDUSTRIES"
"EP",23320,2005,"An organic electroluminescence device including: an emitting layer 40 between an anode 10 and a cathode 60, an acceptor-containing layer 70 which contains an acceptor and is electron-transportable, and a hole-transporting layer 30, the acceptor-containing layer and the hole-transporting layer being between the anode 10 and the emitting layer 40 in this order, the acceptor-containing layer being a continuous film formed by deposition.","H01L","IDEMITSU KOSAN COMPANY"
"EP",23322,2007,"An organic light-emitting device includes a substrate; a first electrode (10) disposed on the substrate (8); a hole transport layer (12) disposed on the first electrode; an emitting layer (13) disposed on the hole transport layer; and a second electrode (16) disposed on the emitting layer, wherein an organic layer (20) is interposed between the first electrode and the hole transport layer, the organic layer including at least one fluorine-containing compound selected from the group consisting of a fluorine-substituted phthalocyanine derivative, an aliphatic fluorocarbon compound represented by C x F( 2x+2 ), C x F( 2x-2 ), or C x F2 x , where x is an integer of 1 to 500, an aromatic fluorocarbon compound represented by C 6y F 6y-2n , where y is an integer of 1 to 80, n is an integer of 0 to 80, and 6y-2n is a positive integer, and fluorinated fullerene. The organic light-emitting device can show high efficiency, a low driving voltage, high brightness, and a long lifetime.","H01L","SAMSUNG MOBILE DISPLAY COMPANY"
"EP",23448,2005,"A transmitter employing an OFDM system, including a phase rotating portion which gives a same phase rotation amount to each group configured with a plurality of consecutive subcarriers modulated by a data symbol or a known symbol, a rotation amount determining portion which sets a phase rotation for each antenna set or each transmitter, and a scheduling portion which determines an existence of phase rotation.","H04L","SHARP CORPORATION"
"EP",23450,2007,"A method for enhancing information security in a wireless communications system comprises receiving a data or control bit sequence and a user identity sequence (302), performing a CRC operation on the data/control bit sequence to generate a CRC bit sequence (304), and masking the CRC bit sequence with the user identity sequence to generate a coded bit sequence according to a formula (306). The formula comprises a first equation and a second equation, and the second equation calculates a plurality of coded bits of the coded bit sequence according to most significant bits or least significant bits of the user identity sequence and the CRC bit sequence (306).","H04L","INNOVATIVE SONIC"
"EP",23453,2005,"The present invention relates to a method for realizing HARQ in multi-carrier cell, comprising: when distributing high-speed shared resource for UE, Node B distributes the high-speed downlink packet service to N frequencies, and reports the information of the established physical channel, including the frequency information, to RNC and said UE; after Node B establishes the high-speed shared resource for said UE at N frequencies, it establishes N HARQ sub-entities on the HARQ entity built for said UE, each sub-entity independently processes the high-speed downlink packet service at one frequency ; correspondingly, said UE also establishes N HARQ sub-entities on the HARQ entity; Node B configures parameters for each HARQ sub-entity and notifies the configuration information to RNC and said UE through upper-level signaling; Node B and UE complete their configuration for each sub-entity of HARQ entity according to the information, and realize the HARQ function in the service. The present invention can realize HARQ function on multiple frequencies simultaneouly and is compatible with current protocol in TD-SCDMA system that utilizes multi-carrier HSDPA technique.","H04L","ZTE CORPORATION"
"EP",23455,2007,"The congestion in a network can be avoided by effectively utilizing a prepared network band even in a network where reception intervals of acknowledgments are not correct. According to the information about Ack or Sack (selective acknowledgment) received in a time of the minimum value of an RTT (rtt_min), the number of bytes of received segments (rev_bytes) for which a receiving side acknowledges the reception is counted, and a received byte number setting unit (16) sets a congestion window (CWND) or a slow start threshold (SSTHRESH) when a packet loss occurs according to the number of bytes of received segments (rcv_bytes) counted by a received byte number counting unit (14) when a packet loss is detected by a loss detection unit (15).","H04L","NTT DOCOMO"
"EP",23457,2007,"A method and apparatus for configuring a downlink frame in a communication system. The method and apparatus includes setting up a first region including allocation information of a data burst according to an amount of the data burst to be transmitted in a downlink frame region; estimating a first transmission Protocol Data Unit/Packet Data Unit (PDU) according to scheduling priority; and transmitting the first PDU over a remaining region except for the first region in the downlink frame region. The data burst includes at least one PDU having the same Modulation and Coding Scheme (MCS) level, or is a data burst generated by concatenating PDUs of the same Mobile Station (MS).","H04L","SAMSUNG ELECTRONICS COMPANY"
"EP",23459,2005,"An over-sampled sequence detector operates on sampled data and tracks the detection reliability of the sampled data. The detector separately analyzes sample sequences for different sampling phases and then picks a sample sequence that allows for the most reliable detection. For the different sampling phases, the detector inspects some amount of look-behind and look-ahead information in order to improve upon simple symbol-by-symbol detection. The over-sampled information is used to further improve detection performance.","H04L","GENESIS MICROCHIP"
"EP",23461,2005,"A method for implementing multicast in the MAC in MAC network, which method enables the operator's backbone network device to support the multicast copy ability based on the private network user, and allows the public network, which supports the MAC in MAC Layer 2 backbone network, to have the full multicast ability, the inventive method adds into the PBB the correspondence of the multicast address between the private network and the public network as well as the multicast forwarding tables in each network equipments, copies and sends downward the multicast messages stage by stage, so that the multicast messages are sent downward in accordance with the typical multicast tree structure, thereby avoiding the huge waste of the bandwidth due to the multicast copy.","H04L","HUAWEI TECHNOLOGIES COMPANY"
"EP",23463,2006,"A bandwidth control method includes: determining a service type of a service ordered by a user, allocating maximum usable bandwidth to the service type and setting up a bandwidth control policy for the service type; calculating bandwidth occupied by the service type when the user uses the service; and adjusting, according to the bandwidth control policy, the bandwidth occupied by the service type if the bandwidth occupied by the service type is higher than the maximum usable bandwidth allocated to the service type. The present invention also discloses a system and apparatuses. The present invention provides flexible service bandwidth control and the system resources are thus effectively utilized.","H04L","HUAWEI TECHNOLOGIES COMPANY"
"EP",23465,2007,"It is disclosed a management system of a telecommunication network, the network comprising a first set of resources based on a first technology and a second set of resources based on a second technology, wherein the management system comprises: a browsing module configured to cooperate with a graphic interface; a data structure for mapping the first set of resources and the second set of resources, the graphic interface being configured for representing the data structure, and the browsing module being capable of accessing the first set of resources and the second set of resources through the data structure; and a service application, the browsing module being capable of accessing the service application for performing a management operation upon a resource comprised either in the first set of resource or in the second set of resources.","H04L","ALCATEL LUCENT"
"EP",23468,2007,"Disclosed is a building management system which includes a BACnet gateway including a protocol converter which receives data in a remote communication protocol format and converts the data according to a BACnet communication protocol, a central controller which connects to the BACnet gateway and controls a sub-system of a building, and a watt-hour meter which measures a wattage of the sub-system and transmits wattage data to the protocol converter using the remote communication protocol format.","H04L","LG ELECTRONICS"
"EP",23470,2006,"The invention relates to a method, measurement arrangement, analyser and analyser program for debugging transmission failures in a telecommunication network. In the method, the analyser utilizes both internal events of a telecommunication component and signalling messages transmitted in the telecommunication network. Internal events and external signalling messages are combined or correlated for speeding debugging.","H04L","NETHAWK"
"EP",23474,2007,"A wireless local area network (WLAN) client device (110, 500) determines the WLAN regulatory domain (102, 104) in which it is currently located by using information received via a non-WLAN wireless interface (520, 530). Once the regulatory domain (102, 104) has been determined, a WLAN client device (110, 500) operating in the 2.4 GHz band, for example, an IEEE 802.11b/g client device, may actively scan on channels in the 2.4 GHz band where transmissions are permitted by the regulatory domain (102, 104) without first passively scanning on channels in the 2.4 GHz band.","H04L","RIM (RESEARCH IN MOTION)"
"EP",23476,2005,"A peer-to-peer application message recognizing method and its application comprise taking the traffic statistics of the message and identifying the message as a P2P application message when the traffic statistics result corresponding to the message according with the peer-to-peer (P2P) traffic model is confirmed. The scheduled operations, for example, traffic limiting operation, statistics operation for traffic limiting, statistics operation for charging, are taken on the P2P application message after the message is identified as a P2P application message.","H04L","HUAWEI TECHNOLOGIES COMPANY"
"EP",23480,2007,"A method and a device for adjusting a buffer is provided comprising steps (i) a first network sends an information concerning a type of an access network to a node; and (ii) the buffer is initialized corresponding to the type of the access network received from the node. In addition, a communication system comprising such device is presented.","H04L","NOKIA NETWORKS"
"EP",23484,2007,"A text messaging apparatus and method for a mobile terminal includes: transmitting a text message having a context identification number from a first mobile terminal to a second mobile terminal; receiving a response text message from the second mobile terminal in response to the text message, the response text message having a context identification number identical to that of the first text message; extracting the context identification number from the response text message; retrieving text messages linked to the context identification number; and displaying the response text message together with the retrieved text messages.","H04L","SAMSUNG ELECTRONICS COMPANY"
"EP",23486,2007,"A method and device are provided for adjusting a jitter buffer, comprising the steps of detection of a jitter error and adjusting the jitter buffer based on said jitter error detected. In addition, a communication system comprising such device is presented.","H04L","SIEMENS NETWORKS & COMPANY"
"EP",23488,2007,"A multi-path receiving system is provided. The multi-path receiving system includes a multi-path analyzer, a channel estimator and an equalizer. The multi-path analyzer analyzes a channel impulse response (CIR) of the multi-path channel from the received stream. The channel estimator calculates a channel estimation result from the received stream. The channel estimator comprises a frequency domain interpolation filter performing channel estimation. The frequency domain interpolation filter consumes an amount of power according to the CIR result output from the multi-path analyzer. The equalizer equalizes the received stream based on the channel estimation result.","H04L","MEDIATEK"
